timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1593440745752,16,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745769,14,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,12,0,0
1593440745783,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745798,19,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,16,0,1
1593440745817,12,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,10,0,1
1593440745829,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,1
1593440745845,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,13,0,0
1593440745860,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,1
1593440745876,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745892,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745908,14,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,12,0,0
1593440745922,17,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,15,0,0
1593440745939,13,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,11,0,0
1593440745952,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,1
1593440745968,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745984,16,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,15,0,1
1593440746521,14,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,12,0,1
1593440746535,18,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,17,0,1
1593440746554,20,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,18,0,0
1593440746574,20,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,18,0,1
1593440746594,16,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,14,0,1
1593440746610,14,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,13,0,1
1593440746625,19,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,17,0,0
1593440746645,13,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,10,0,1
1593440746659,14,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,12,0,1
1593440746673,15,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,14,0,1
1593440746688,19,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,17,0,1
1593440746707,13,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,11,0,1
1593440746720,16,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,15,0,0
1593440746737,14,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,12,0,0
1593440746751,17,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,16,0,1
1593440746768,14,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,12,0,1
1593440746782,17,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,14,0,1
1593440746799,17,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,14,0,1
1593440746816,13,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,11,0,0
1593440746830,15,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,13,0,0
1593440746845,15,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,13,0,1
1593440746860,14,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,13,0,1
1593440746874,15,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,14,0,1
1593440746890,16,TCP Sampler,200,OK,Thread Group 1-5,text,true,,231,0,1,1,null,14,0,0
